Source,Target
200,51820
200,81269
201,202
201,1609
201,2429
201,2845
201,5912
201,10074
201,10573
201,14124
201,14642
201,15403
201,15475
201,15911
201,19140
201,19537
201,20667
201,22882
201,26832
201,32812
201,34101
201,34758
201,37336
201,39680
201,40582
201,42020
201,49388
201,52545
201,57839
201,60020
201,64440
201,65129
201,71744
201,81248
201,82074
201,82082
201,82087
201,82094
201,82182
201,93610
201,99858
201,100427
201,100824
201,111355
201,114704
201,137169
201,140097
201,143628
201,143630
201,143632
201,143633
201,143634
201,143636
201,167880
201,168430
201,180632
202,14123
203,204
203,224
203,1995
203,2024
203,2289
203,2351
203,3404
203,3782
203,3907
203,4495
203,4606
203,5168
203,6505
203,6523
203,6524
203,6769
203,8120
203,9943
203,10452
203,10536
203,11893
203,12681
203,15427
203,16855
203,18911
203,19088
203,20064
203,20083
203,20825
203,22747
203,23837
203,24042
203,24213
203,25067
203,25621
203,31350
203,31669
203,33371
203,35987
203,35998
203,36006
203,36015
203,36026
203,37602
203,40325
203,42070
203,42388
203,47766
203,49380
203,49960
203,50361
203,52585
203,53307
203,54363
203,54753
203,55226
203,56332
203,61671
203,62698
203,65501
203,69477
203,76552
203,76777
203,86896
203,93067
203,103304
203,104388
203,119681
203,119684
203,119685
203,131499
203,131733
203,148574
203,150001
203,166277
203,167492
203,179544
204,1346
204,2479
204,5080
204,6225
204,15872
204,16332
204,17214
204,19520
204,57061
204,60409
205,206
205,8809
205,11257
205,12906
205,14012
205,15177
205,15436
205,16652
205,16796
205,16920
205,17399
205,21393
205,21403
205,21695
205,23617
205,28459
205,31471
205,33342
205,35163
205,36914
205,44226
205,48925
205,58323
205,58326
205,59084
205,63304
205,73086
205,77697
205,103736
205,107186
205,112155
205,116792
205,121021
205,123176
205,124412
205,131245
205,136793
205,139076
206,12321
206,13132
206,14832
206,20400
206,21979
206,26526
206,31471
206,35163
206,35370
206,35442
206,58320
206,58323
206,58326
206,58663
206,58668
206,58670
206,58674
206,58676
206,95818
207,208
207,241
207,334
207,743
207,781
207,1843
207,3376
207,5074
207,5773
207,6444
207,7209
207,9114
207,9437
207,10098
207,11107
207,11271
207,12743
207,13230
207,13249
207,14944
207,16878
207,21041
207,22025
207,23161
207,27713
207,29026
207,31656
207,34328
207,34329
207,36133
207,38124
207,38125
207,49787
207,55214
207,60979
207,61835
207,64544
207,66719
207,66839
207,70272
207,95883
207,100435
207,101961
207,102708
208,5773
208,5860
208,9063
208,14363
208,14944
208,22327
208,27887
208,33406
208,33407
208,34329
208,35974
208,38246
208,40112
208,42963
208,47773
208,71275
208,96063
208,130969
209,210
209,1816
209,4022
209,5837
209,7679
209,8692
209,9718
209,10252
209,10253
209,19559
209,19560
209,19863
209,25019
209,25657
209,29026
209,29208
209,32590
209,32609
209,32616
209,34206
209,38533
209,38821
209,41762
209,51399
209,56007
209,56909
209,60675
209,65392
209,75857
209,90398
209,97398
209,106553
209,108377
209,113690
209,126558
209,128728
209,155161
209,178426
209,178427
210,27256
210,29919
210,32590
210,184247
211,621
